date,O,H,L,C,IBH,IBL,vol,u_var,d_var,first,last,PnL
2022-03-16,13690.0,13866.5,13463.0,13735.0,13698.25,13613.75,0.019098339285796944,12433.043749999972,17218.331249999974,1580091,1580406,159.28715705541072
2022-03-17,13878.0,14092.0,13819.0,14060.0,13894.25,13832.5,0.01928266671730469,12421.043749999972,20974.606249999968,1581471,1581786,25.517757101650204
2022-03-18,14012.0,14338.25,13978.25,14335.75,14057.25,13978.25,0.019666785777920668,7140.406249999972,12140.093749999938,1582851,1583166,-58.072630194767044
2022-03-25,14828.0,14828.25,14572.5,14738.5,14828.25,14759.0,0.0178002425160704,12736.418749999972,9267.737499999945,1589751,1590066,99.48048493394617
2022-04-14,14218.75,14246.75,13960.25,14027.75,14240.25,14190.5,0.015317900844431015,13969.824999999975,11169.981249999964,1609010,1609325,-65.68672490506651
2022-04-20,14198.75,14298.0,13979.5,14079.5,14298.0,14190.0,0.013578358343943893,10100.331249999974,7843.206249999954,1613150,1613465,45.02556406808435
2022-04-25,13203.0,13466.75,13203.0,13351.5,13272.75,13203.0,0.014737423666110881,12407.706249999974,21067.731249999968,1617290,1617605,40.58306733272457
2022-04-27,13017.75,13255.25,12930.25,13169.5,13083.25,13014.75,0.013247530478190675,12827.531249999975,28424.40624999999,1620050,1620365,52.40217766790647
2022-05-02,12870.0,13046.5,12738.75,12784.0,12870.5,12766.0,0.014142691672885191,12764.418749999975,25616.35624999997,1621790,1622105,187.19518083783714
2022-05-12,11877.0,12132.75,11693.25,11741.25,11880.0,11755.5,0.018625359181312365,8760.949999999975,27590.918749999986,1632830,1633145,-53.52963959980298
2022-05-26,12013.75,12343.0,11899.0,12319.0,12016.5,11958.75,0.027337551752844767,16466.293749999975,39719.043749999975,1646629,1646944,-50.73713886914629
2022-06-21,11493.5,11678.25,11442.0,11602.75,11496.5,11442.0,0.023976815589219783,2680.1562499999736,8141.67499999992,1670988,1671303,14.385818032411407
2022-06-27,12203.75,12221.0,12021.0,12039.0,12221.0,12170.75,0.02234154998395407,16678.206249999974,4534.968749999916,1676508,1676823,25.417367264606582
2022-06-30,11515.0,11685.0,11351.0,11644.5,11522.5,11476.0,0.021794661043445625,7510.206249999975,17923.21874999995,1680648,1680963,32.92240534044231
2022-07-01,11494.25,11617.25,11401.0,11522.5,11498.5,11429.5,0.021464569889817382,3617.7687499999747,15044.918749999953,1682028,1682343,82.19265767488378
2022-07-08,12088.25,12211.0,11952.5,12125.25,12105.75,12076.25,0.019251519415350832,5580.637499999974,3979.737499999904,1688688,1689003,107.80438604404571
2022-07-15,11833.5,11999.75,11740.25,11980.5,11840.0,11777.25,0.013790596840808758,4097.174999999975,11159.699999999948,1695588,1695903,-35.14225092082961
2022-07-19,12010.5,12256.5,11981.25,12253.75,12019.0,11981.25,0.014139209604764901,6792.331249999974,13004.581249999943,1698348,1698663,-57.0090759944942
2022-07-26,12296.25,12315.0,12106.0,12119.25,12314.0,12285.5,0.012778931409293384,9731.543749999975,6648.593749999939,1705248,1705563,-27.019668857905344
2022-08-05,13313.0,13351.25,13085.0,13192.25,13351.25,13310.25,0.014399762017894297,12160.906249999975,6052.53124999992,1716287,1716602,29.03177915203014
2022-08-16,13673.0,13702.25,13522.75,13698.25,13681.75,13659.5,0.013668114856102935,10786.481249999975,3624.8437499998963,1725946,1726261,100.6020510547105
2022-09-02,12251.25,12461.5,12085.0,12086.5,12297.0,12251.0,0.014376121928527429,6924.768749999974,16897.26874999996,1743885,1744200,18.209747923778195
2022-09-07,12042.25,12216.75,11977.25,12210.75,12044.75,11977.25,0.013400700378955879,6475.112499999974,7969.45624999994,1747785,1748100,16.172203412063027
2022-09-09,12450.5,12605.5,12406.25,12587.5,12451.75,12427.5,0.014895765510303577,3213.031249999973,8263.206249999928,1750545,1750860,17.976474587053417
2022-09-19,11812.0,11978.5,11804.75,11918.0,11838.25,11804.75,0.015911435247262632,3980.4812499999725,67326.94999999998,1758825,1759140,13.528728429827424
2022-10-03,11042.25,11281.75,11032.5,11263.75,11087.0,11032.5,0.018699784606735298,15081.768749999974,19630.043749999953,1772625,1772940,29.22088559094209
